SlNo,State,CollegeName,District,University,Management,YearOfInception,AnnualIntake
18,Andhra Pradesh,Government Siddhartha Medical College Vijaywada,Vijaywada,Dr. YSR University of Health Sciences,Govt.,1980,175
19,Andhra Pradesh,Great Eastern Medical School and Hospital Srikakulam,Srikakulam,Dr. YSR University of Health Sciences,Trust,2010,150
20,Andhra Pradesh,GSL Medical College Rajahmundry,Rajahmundry,Dr. YSR University of Health Sciences,Trust,2002,250
21,Andhra Pradesh,Guntur Medical College Guntur,Guntur,Dr. YSR University of Health Sciences,Govt.,1946,250
22,Andhra Pradesh,Katuri Medical College Guntur,Guntur,Dr. YSR University of Health Sciences,Trust,2002,150
23,Andhra Pradesh,Konaseema Institute of Medical Sciences & Research Foundation Amalapuram,Amalapuram,Kaloji Narayana Rao University of Health Sciences Warangal,Trust,2005,200
24,Andhra Pradesh,Kurnool Medical College Kurnool,Kurnool,Dr. YSR University of Health Sciences,Govt.,1957,250
25,Andhra Pradesh,Maharajah Institute of Medical Sciences Vizianagaram,Vizianagaram,Dr. YSR University of Health Sciences,Trust,2002,200
26,Andhra Pradesh,Narayana Medical College Nellore,Nellore,Dr. YSR University of Health Sciences,Trust,2000,250
27,Andhra Pradesh,Nimra Institute of Medical Sciences Krishna Dist.,Krishna,Dr. YSR University of Health Sciences,Society,2016,150
28,Andhra Pradesh,NRI Institute of Medical Sciences Visakhapatnam,Visakhapatnam,Dr. YSR University of Health Sciences,Trust,2012,150
29,Andhra Pradesh,NRI Medical College Guntur,Guntur,Dr. YSR University of Health Sciences,Trust,2003,200
30,Andhra Pradesh,P E S Institute Of Medical Sciences and Research Kuppam,Kuppam,Dr. YSR University of Health Sciences,Trust,2001,150
31,Andhra Pradesh,Rajiv Gandhi Institute of Medical Sciences Kadapa,Kadapa,Dr. YSR University of Health Sciences,Govt.,2006,175
32,Andhra Pradesh,Rajiv Gandhi Institute of Medical Sciences Ongole,Ongole,Dr. YSR University of Health Sciences,Govt.,2011,120
33,Andhra Pradesh,Rajiv Gandhi Institute of Medical Sciences Srikakulam,Srikakulam,Dr. YSR University of Health Sciences,Govt.,2008,200
34,Andhra Pradesh,Rangaraya Medical College Kakinada,Kakinada,Dr. YSR University of Health Sciences,Govt.,1958,250
35,Andhra Pradesh,S V Medical College Tirupati,Tirupati,Dr. YSR University of Health Sciences,Govt.,1960,240
36,Andhra Pradesh,Santhiram Medical College Nandyal,Nandyal,Dr. YSR University of Health Sciences,Trust,2005,150
37,Andhra Pradesh,Sri Balaji Medical College Hospital and Research Institute Chittoor,Chittoor,Dr. YSR University of Health Sciences,Trust,2022,150
38,Andhra Pradesh,SVIMS Sri Padmavathi Medical College for Women Alipiri Road Tirupati,Tirupati,Sri Venkateswara Institute of Medical Sciences (SVIMS) Tirupati,Govt.,2014,175
39,Andhra Pradesh,Viswabharathi Medical College Kurnool,Kurnool,Dr. YSR University of Health Sciences,Society,2014,250
40,Arunachal Pradesh,Tomo Riba Institute of Health & Medical Sciences Naharlagun,Naharlagun,Rajiv Gandhi University Arunachal Pradesh,Govt.,2018,100
41,Assam,Tinsukia Medical College Assam,Tinsukia,Srimanta Sankaradeva University of Health Sciences,Govt.,2024,100
42,Assam,Nalbari Medical College Nalbari,Nalbari,Srimanta Shankardeva University of Health Sciences,Govt.,2023,100
43,Assam,Gauhati Medical College Guwahati,Guwahati,Srimanta Shankardeva University of Health Sciences,Govt.,1960,200
44,Assam,All India Institute of Medical Sciences (AIIMS) Guwahati,Guwahati,,Govt.,2020,50
45,Assam,Silchar Medical College Silchar,Silchar,Srimanta Shankardeva University of Health Sciences,Govt.,1968,125
46,Assam,Jorhat Medical College & Hospital Jorhat,Jorhat,Srimanta Shankardeva University of Health Sciences,Govt.,2010,125
47,Assam,Assam Medical College Dibrugarh,Dibrugarh,Srimanta Shankardeva University of Health Sciences,Govt.,1947,200
48,Assam,Lakhimpur Medical College,North Lakhimpur,Srimanta Shankardeva University of Health Sciences,Govt.,2021,100
49,Assam,Diphu Medical College & Hospital Diphu,Diphu,Srimanta Shankardeva University of Health Sciences,Govt.,2020,100
50,Assam,Tezpur Medical College & Hospital Tezpur,Tezpur,Srimanta Shankardeva University of Health Sciences,Govt.,2014,125
51,Assam,Nagaon Medical College,Nagaon,Srimanta Sankaradeva University of Health Sciences,Govt.,2023,100
52,Assam,Kokrajhar Medical College,Kokrajhar,Srimanta Shankardeva University of Health Sciences,Govt.,2023,100
53,Assam,Dhubri Medical College Dhubri,Dhubri,Srimanta Sankaradeva University of Health Sciences,Govt.,2022,100
54,Assam,Fakhruddin Ali Ahmed Medical College Barpeta,Barpeta,Srimanta Shankardeva University of Health Sciences,Govt-Society,2012,125
55,Bihar,Himalaya Medical College and Hospital Patna,Patna,Bihar University of Health Sciences,Trust,2024,100
56,Bihar,Government Medical College Purnea,Purnea,Aryabhatta Knowledge University Patna,Govt.,2023,100
57,Bihar,Mata Gujri Memorial Medical College Kishanganj,Kishanganj,B.N. Mandal University,Trust,1990,150
58,Bihar,Patna Medical College Patna,Patna,Aryabhatta Knowledge University Patna,Govt.,1925,200
59,Bihar,Darbhanga Medical College Lehriasarai,Lehriasarai,Aryabhatta Knowledge University Patna,Govt.,1946,120
60,Bihar,Katihar Medical College Katihar,Katihar,Al-Karim University Katihar,Trust,1987,150
61,Bihar,All India Institute of Medical Sciences Patna,Patna,Statutory Autonomous AIIMS(Patna),Govt.,2012,125
62,Bihar,Nalanda Medical College Patna,Patna,Aryabhatta Knowledge University Patna,Govt.,1970,150
63,Bihar,Shri Krishna Medical College Muzzafarpur,Muzzafarpur,Aryabhatta Knowledge University Patna,Govt.,1970,120
64,Bihar,Jawaharlal Nehru Medical College Bhagalpur,Bhagalpur,Aryabhatta Knowledge University Patna,Govt.,1971,150
65,Bihar,Anugrah Narayan Magadh Medical College Gaya,Gaya,Aryabhatta Knowledge University Patna,Govt.,1970,150
66,Bihar,Radha Devi Jageshwari Memorial Medical College and Hospital Turki,Turki,Aryabhatta Knowledge University Patna,Society,2021,150
67,Bihar,Shree Narayan Medical Institute and Hospital Rohtas,Rohtas,Bhupendra Narayan Mandal University Madhepura,Trust,2021,150
68,Bihar,Employees State Insurance Corporation Medical College Patna,Patna,Aryabhatta Knowledge University Patna,Govt.,2021,100
69,Bihar,Jannayak Karpoori Thakur Medical College & Hospital Madhepura,Madhepura,Aryabhatta Knowledge University Patna,Govt.,2020,100
70,Bihar,Netaji Subhas Medical College & Hospital Amhara Bihta Patna,Amhara,Aryabhatta Knowledge University Patna,Society,2020,150
71,Bihar,Lord Buddha Koshi Medical College and Hospital Saharsa,Saharsa,B.N. Mandal University,Trust,2019,150
72,Bihar,Madhubani Medical College Madhubani,Madhubani,Aryabhatta Knowledge University Patna,Trust,2019,150
73,Bihar,Government Medical College Bettiah,Bettiah,Aryabhatta Knowledge University Patna,Govt.,2013,120
74,Bihar,Vardhman Institute of Medical Sciences Pawapuri Nalanda,Nalanda,Aryabhatta Knowledge University Patna,Govt.,2013,120
75,Bihar,Indira Gandhi Institute of Medical Sciences Sheikhpura Patna,Sheikhpura,Indira Gandhi Instt of Medical Sciences Deemed University Patna,Govt.,2011,150
76,Bihar,Narayan Medical College & Hospital Sasaram,Sasaram,Gopal Narayan Singh University,Trust,2008,250
77,Chandigarh,Government Medical College Chandigarh,Chandigarh,Punjab University,Govt.,1991,150
78,Chattisgarh,Abhishek Mishra Memorial Medical College & RC Bhilai,Bhilai,Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University of Chhattisgarh Raipur,Private,2024,100
79,Chattisgarh,Shri Rawatpura Sarkar Institute of Medical Sciences and Research Atal Nagar Raipur,Raipur,Pandit Deendayal Upadhyay Memorial Health Science & Ayush University of Chattisgarh,Private,2024,150
80,Chattisgarh,Late Shri Baliram Kashyap Memorial NDMC Govt. Medical College Jagdalpur,Jagdalpur,Pt.Ravishankar Shukla University,Govt.,2006,125
81,Chattisgarh,All India Institute of Medical Sciences Raipur,Raipur,Statutory Autonomous AIIMS(Raipur),Govt.,2012,125
82,Chattisgarh,Government Medical College Kanker,Kanker,Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University Raipur,Govt.,2021,125
83,Chattisgarh,Pt. J N M Medical College Raipur,Raipur,Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University Raipur,Govt.,1963,230
84,Chattisgarh,Chhattisgarh Institute of Medical Sciences Bilaspur,Bilaspur,Ayush and Health Sciences University Chhattisgarh,Govt.,2001,150
85,Chattisgarh,Shri Balaji Institute of Medical Science Mowa,Mowa,Pandit Deendayal Upadhyay Memorial Health Science & Ayush University of Chattisgarh,Society,2021,150
86,Chattisgarh,Raipur Institute of Medical Sciences (RIMS) Raipur,Raipur,Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University Raipur,Society,2016,150
87,Chattisgarh,Shri Shankaracharya Institute of Medical Sciences Bhilai,Bhilai,Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University Raipur,Society,2016,150
88,Chattisgarh,Government Medical College Ambikapur Surguja,Ambikapur,Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University Raipur,Govt.,2016,125
89,Chattisgarh,Government Medical College Mahasamund,Mahasamund,Pt. Deendayal Upadhyay Memorial Health Science & Ayush University of Chhattisgarh,Govt.,2022,125
90,Chattisgarh,Government Medical College Korba,Korba,Pt. Deendayal Upadhyay Memorial Health Science & Ayush University of Chhattisgarh,Govt.,2022,125
91,Chattisgarh,Government Medical College Rajnandgaon,Rajnandgaon,Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University Raipur,Govt.,2014,125
92,Chattisgarh,Chandulal Chandrakar Memorial Medical College Durg,Durg,Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University Raipur,Govt.,2013,200
93,Chattisgarh,Late Shri Lakhi Ram Agrawal Memorial Govt. Medical College Raigarh,Raigarh,Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University Raipur,Govt.,2013,100
94,Dadra and Nagar Haveli,NAMO Medical Education and Research Institute Silvassa,Silvassa,Veer Narmad South Gujarat University,Govt.,2019,177
95,Delhi,Vardhman Mahavir Medical College & Safdarjung Hospital Delhi,Delhi,Guru Gobind Singh Indraprastha University,Govt.,2002,170
96,Delhi,Army College of Medical Sciences New Delhi,Delhi,Guru Gobind Singh Indraprastha University,Trust,2008,100
97,Delhi,All India Institute of Medical Sciences New Delhi,Delhi,Statutory Autonomous AIIMS(New Delhi),Govt.,1956,132
98,Delhi,University College of Medical Sciences & GTB Hospital New Delhi,Delhi,Delhi University,Govt.,1971,170
99,Delhi,Lady Hardinge Medical College New Delhi,Delhi,Delhi University,Govt.,1916,240
100,Delhi,Maulana Azad Medical College New Delhi,Delhi,Delhi University,Govt.,1958,250
101,Delhi,Atal Bihari Vajpayee Institute of Medical Sciences and Dr. RML Hospital New Delhi,Delhi,Guru Gobind Singh Indraprastha University,Govt.,2008,100
102,Delhi,Dr. Baba Saheb Ambedkar Medical College Rohini Delhi,Delhi,Guru Gobind Singh Indraprastha University,Govt.,2016,125
103,Delhi,North Delhi Muncipal Corporation Medical College Delhi,Delhi,Guru Gobind Singh Indraprastha University,Govt.,2013,60
104,Delhi,Hamdard Institute of Medical Sciences & Research New Delhi,Delhi,University of Jamia Hamdard,Society,2012,150
105,Goa,Goa Medical College Panaji,Panaji,Goa University,Govt.,1963,200
106,Gujarat,Bhagyoday Medical College,Mehsana,Gujarat University,Trust,2024,100
107,Gujarat,SAL Institute of Medical Sciences Ahmedabad,Ahmedabad,Gujarat University,Trust,2023,150
108,Gujarat,Swaminarayan Institute of Medical Sciences & Research,Gandhinagar,Swaminarayan University,Trust,2023,150
109,Gujarat,All India Institute of Medical Science Rajkot,Rajkot,,Govt.,2017,50
110,Gujarat,Surat Municipal Institute of Medical Education & Research Surat,Surat,Veer Narmad South Gujarat University,Govt.,1999,250
111,Gujarat,MP Shah Medical College Jamnagar,Jamnagar,Saurashtra University,Govt.,1955,250
112,Gujarat,B J Medical College Ahmedabad,Ahmedabad,Gujarat University,Govt.,1946,250
113,Gujarat,Pandit Deendayal Upadhyay Medical College Rajkot,Rajkot,Saurashtra University,Govt.,1995,200
114,Gujarat,SBKS Medical Instt. & Research Centre Vadodra,Vadodra,Sumandeep Vidyapeeth University Vadodara,Trust,2002,250
115,Gujarat,CU Shah Medical College Surendra Nagar,Surendra Nagar,Saurashtra University,Trust,2000,100
116,Gujarat,Government Medical College Bhavnagar,Bhavnagar,Maharaja Krishnakumarsinghji Bhavnagar University,Govt.,1995,200
117,Gujarat,Medical College Baroda,Baroda,MS University of Baroda,Govt.,1949,250
118,Gujarat,Smt. N.H.L. Municipal Medical College Ahmedabad,Ahmedabad,Gujarat University,Govt.,1963,250
119,Gujarat,Government Medical College Surat,Surat,Veer Narmad South Gujarat University,Govt.,1964,250
120,Gujarat,Dr. Kiran C. Patel Medical College and Research Institute Bharuch,Bharuch,Veer Narmad South Gujarat University,Trust,2020,200
121,Gujarat,Shantabaa Medical College Amreli,Amreli,Saurashtra University,Trust,2019,200
122,Gujarat,Nootan Medical College and Research Centre Mehsana,Mehsana,Sankalchand Patel University,Trust,2019,150
123,Gujarat,Dr. N.D. Desai Faculty of Medical Science and Research Nadiad,Nadiad,Dharmsinh Desai University,Private,2019,150
124,Gujarat,Kiran Medical College Surat,Surat,Veer Narmad South Gujarat University,Trust,2023,150
125,Gujarat,Zydus Medical College & Hospital Dahod,Dahod,Shri Govind Guru University Godhra,Trust,2018,200
126,Gujarat,Banas Medical College and Research Institute Palanpur,Palanpur,Hemchandracharya North Gujarat University Patan,Trust,2018,200
127,Gujarat,GMERS Medical College Vadnagar Mehsana,Mehsana,Hemchandracharya North Gujarat University Patan,Govt-Society,2017,200
128,Gujarat,Dr. M.K. Shah Medical College & Research Centre Ahmedabad,Ahmedabad,Gujarat University,Trust,2017,250
129,Gujarat,Parul Institute of Medical Sciences & Research Vadodara,Vadodara,Parul University,Private,2016,150
130,Gujarat,GMERS Medical College Hadiyol Himmatnagar,Himmatnagar,Hemchandracharya North Gujarat University Patan,Govt-Society,2015,200
131,Gujarat,GMERS Medical College Junagadh,Junagadh,Saurashtra University,Govt-Society,2015,200
132,Gujarat,GMERS Medical College Valsad,Valsad,Veer Narmad South Gujarat University,Govt-Society,2012,200
133,Gujarat,GMERS Medical College Dharpur Patan,Dharpur Patan,Hemchandracharya North Gujarat University Patan,Govt-Society,2012,200
134,Gujarat,GMERS Medical College Gandhinagar,Gandhinagar,Gujarat University,Govt-Society,2012,200
135,Gujarat,GCS Medical College Ahmedabad,Ahmedabad,Gujarat University,Trust,2011,150
136,Gujarat,GMERS Medical College Gotri Vadodara,Gotri,MS University of Baroda,Govt-Society,2011,200
137,Gujarat,GMERS Medical College Sola Ahmedabad,Sola,Gujarat University,Govt-Society,2011,200
138,Gujarat,Gujarat Adani Institute of Medical Sciences Bhuj,Bhuj,KSKV Kachchh University Bhuj,Trust,2009,150
139,Gujarat,Ahmedabad Municipal Coporation Medical Education Trust Medical College Ahmedabad,Ahmedabad,Gujarat University,Govt.,2009,200
140,Gujarat,Government Medical College Morbi,Morbi,Saurashtra University Rajkot,Govt.,2022,100
141,Gujarat,Government Medical College Navsari,Navsari,Veer Narmad South Gujarat University Surat,Govt.,2022,100
142,Gujarat,Ananya College of Medicine & Research Kalol,Gandhinagar,Gujarat University Ahmedabad,Private,2023,150
143,Gujarat,Government Medical College Panchmahal Godhra,Panchmahal,Shri Govind Guru University Godhra,Govt.,2022,100
144,Gujarat,Government Medical College Porbandar,Porbandar,Bhakt Kavi Narsinh Mehta University,Govt.,2022,100
145,Gujarat,GMERS Medical College Rajpipla,Rajpipla,Veer Narmad South Gujarat University Surat,Govt.,2022,100
146,Gujarat,Pramukhswami Medical College Karmsad,Karmsad,Bhaikaka University,Trust,1987,150
147,Haryana,Maharishi Markandeshwar College of Medical Sciences & Research Sadopur,Sadopur,Maharishi Markandeshwar University Deemed Ambala,Private,2023,150
148,Haryana,Amrita School of Medicine Faridabad,Faridabad,Amrita Vishwa Vidyapeetham,Trust,2023,150
149,Haryana,Maharaja Agrasen Medical College Agroha,Agroha,PT. B.D. Sharma University of Health Sciences Rohtak,Trust,2002,100
150,Haryana,Faculty of Medicine and Health Sciences Gurgaon,Gurgaon,SGT University Gurugram,Trust,2010,150
151,Haryana,Pt. B D Sharma Postgraduate Institute of Medical Sciences Rohtak,Rohtak,PT. B.D. Sharma University of Health Sciences Rohtak,Govt.,1960,250
152,Haryana,Maharishi Markandeshwar Institute Of Medical Sciences & Research Mullana Ambala,Ambala,Maharishi Markandeshwar University Deemed Ambala,Trust,2003,200
153,Haryana,Al Falah School of Medical Sciences & Research Centre Faridabad,Faridabad,Al-Falah University,Private,2019,150
154,Haryana,Kalpana Chawala Govt. Medical College Karnal,Karnal,PT. B.D. Sharma University of Health Sciences Rohtak,Govt.,2017,120
155,Haryana,Adesh Medical College and Hospital Shahabad Kurukshetra,Kurukshetra,PT. B.D. Sharma University of Health Sciences Rohtak,Society,2017,150
156,Haryana,N.C. Medical College & Hospital Panipat,Panipat,PT. B.D. Sharma University of Health Sciences Rohtak,Trust,2016,150
157,Haryana,World College of Medical Sciences & Research Jhajjar,Jhajjar,PT. B.D. Sharma University of Health Sciences Rohtak,Trust,2016,150
158,Haryana,Employees State Insurance Corporation Medical College Faridabad,Faridabad,PT. B.D. Sharma University of Health Sciences Rohtak,Govt.,2015,125
159,Haryana,Shaheed Hasan Khan Mewati Government Medical College Nalhar,Nalhar,PT. B.D. Sharma University of Health Sciences Rohtak,Govt.,2013,120
160,Haryana,Shri Atal Bihari Vajpayee Government Medical College Faridabad,Faridabad,Pt. B.D. Sharma University of Health Science Rohtak,Govt.,2022,100
161,Haryana,BPS Government Medical College for Women Sonepat,Sonepat,PT. B.D. Sharma University of Health Sciences Rohtak,Govt.,2012,120
162,Himachal Pradesh,Indira Gandhi Medical College Shimla,Shimla,Himachal Pradesh University,Govt.,1966,120
163,Himachal Pradesh,All India Institute of Medical Sciences Bilaspur,Bilaspur,,Govt.,2015,50
164,Himachal Pradesh,Dr. Radhakrishnan Government Medical College Hamirpur,Hamirpur,Himachal Pradesh University,Govt.,2018,120
165,Himachal Pradesh,Pt. Jawahar Lal Nehru Government Medical College Chamba,Chamba,Himachal Pradesh University,Govt.,2017,120
166,Himachal Pradesh,Shri Lal Bahadur Shastri Government Medical College Mandi,Mandi,Himachal Pradesh University,Govt.,2017,120
167,Himachal Pradesh,Government Medical College Nahan Sirmour,Sirmour,Himachal Pradesh University,Govt.,2016,120
168,Himachal Pradesh,Maharishi Markandeshwar Medical College & Hospital Solan,Solan,Maharishi Markandeshwar University Kumarhatti Solan,Trust,2013,150
169,Himachal Pradesh,Dr. Rajender Prasad Government Medical College Tanda,Tanda,Himachal Pradesh University,Govt.,1996,120
170,Jammu & Kashmir,Government Medical College Udhampur,Udhampur,Jammu University,Govt.,2023,100
171,Jammu & Kashmir,Government Medical College Handwara,Kupwara,University of Kashmir,Govt.,2023,100
172,Jammu & Kashmir,All India Institute of Medical Science Vijaypur,Vijaypur,,Govt.,2015,62
173,Jammu & Kashmir,Government Medical College Jammu,Jammu,Jammu University,Govt.,1972,172
174,Jammu & Kashmir,Government Medical College Srinagar,Srinagar,Kashmir University,Govt.,1959,180
175,Jammu & Kashmir,Sher-I-Kashmir Instt. Of Medical Sciences Srinagar,Srinagar,Deemed University Jammu & Kashmir,Govt.,1988,125
176,Jammu & Kashmir,Govt. Medical College Doda,Doda,Kashmir University,Govt.,2020,100
177,Jammu & Kashmir,Government Medical College Rajouri,Rajouri,Jammu University,Govt.,2019,100
178,Jammu & Kashmir,Government Medical College Kathua,Kathua,Jammu University,Govt.,2019,100
179,Jammu & Kashmir,Government Medical College Baramulla,Baramulla,Kashmir University,Govt.,2019,100
180,Jammu & Kashmir,Government Medical College Anantnag,Anantnag,Kashmir University,Govt.,2019,100
181,Jammu & Kashmir,Acharya Shri Chander College of Medical Sciences Jammu,Jammu,Jammu University,Trust,1995,100
182,Jharkhand,M G M Medical College Jamshedpur,Jamshedpur,Kolhan University Chaibasa,Govt.,1961,100
183,Jharkhand,All India Institute of Medical Sciences Deoghar,Deoghar,Statutory Autonomous AIIMS(Deoghar),Govt.,2019,125
184,Jharkhand,Shaheed Nirmal Mahto Medical College & Hospital Dhanbad,Dhanbad,Vinoba Bhave University,Govt.,1969,100
185,Jharkhand,Rajendra Institute of Medical Sciences Ranchi,Ranchi,Ranchi University,Govt.,1960,180
186,Jharkhand,Laxmi Chandravansi Medical College and Hospital Bishrampur,Bishrampur,Ramchandra Chandravansi University Bishrampur Palamu,Trust,2021,100
187,Jharkhand,Manipal Tata Medical College Baridih Jameshedpur,Jameshedpur,Manipal Academy of Higher Education Deemed Manipal,Trust,2020,150
188,Jharkhand,Palamu Medical College Palamu,Palamu,Nilamber-Pitamber University,Govt.,2019,100
189,Jharkhand,Hazaribagh Medical College Hazaribagh,Hazaribagh,Vinoba Bhave University,Govt.,2019,100
190,Jharkhand,Dumka Medical College Dighi Dumka,Dighi Dumka,Sidho Kanhu Murmu University,Govt.,2019,100
191,Karnataka,BGS Medical College and Hospital Bengaluru,Bengaluru,Adichunchanagiri University Karnataka,Private,2024,150
192,Karnataka,PES University Institute of Medical Sciences and Research Bangalore,Bangalore,PES University,Private,2024,100
193,Karnataka,SR Patil Medical College and Hospital Bagalkot,Bagalkot,Rajiv Gandhi University of Health Sciences Bengaluru,Trust,2024,100
194,Karnataka,Chitradurga Medical College and Research Institute,Chitradurga,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,2023,150
195,Karnataka,Sri Chamundeshwari Medical College Hospital & Research Institute,Ramanagara,Rajiv Gandhi University of Health Sciences,Trust,2023,150
196,Karnataka,Khaja Bandanawaz University Faculty of Medical Sciences Gulbarga,Gulbarga,Khaja Bandanawaz University,Trust,2000,150
197,Karnataka,St. Johns Medical College Bangalore,Bangalore,Rajiv Gandhi University of Health Sciences Karnataka,Trust,1963,150
198,Karnataka,A J Institute of Medical Sciences & Research Centre Mangalore,Mangalore,Rajiv Gandhi University of Health Sciences Karnataka,Trust,2002,200
199,Karnataka,Raja Rajeswari Medical College & Hospital Bangalore,Bangalore,Rajiv Gandhi University of Health Sciences Karnataka,Trust,2005,250
200,Karnataka,Yenepoya Medical College Mangalore,Mangalore,Yenepoya University Deemed,Trust,1999,250
201,Karnataka,Al-Ameen Medical College Bijapur,Bijapur,Rajiv Gandhi University of Health Sciences Karnataka,Trust,1984,150
202,Karnataka,Vijaynagar Institute of Medical Sciences Bellary,Bellary,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,1961,200
203,Karnataka,Vydehi Institute Of Medical Sciences & Research Centre Bangalore,Bangalore,Rajiv Gandhi University of Health Sciences Karnataka,Trust,2002,250
204,Karnataka,S S Institute of Medical Sciences & Research Centre Davangere,Davangere,Rajiv Gandhi University of Health Sciences Karnataka,Trust,2006,200
205,Karnataka,Bidar Institute of Medical Sciences Bidar,Bidar,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,2007,150
206,Karnataka,M S Ramaiah Medical College Bangalore,Bangalore,Rajiv Gandhi University of Health Sciences Karnataka,Trust,1979,150
207,Karnataka,Mandya Institute of Medical Sciences Mandya,Mandya,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,2006,150
208,Karnataka,Sri Siddhartha Medical College Tumkur,Tumkur,Sri Siddhartha Academy of Higher Education Tumkur,Trust,1988,200
209,Karnataka,S. Nijalingappa Medical College & HSK Hospital & Research Centre Bagalkot,Bagalkot,Rajiv Gandhi University of Health Sciences Karnataka,Trust,2002,250
210,Karnataka,MVJ Medical College and Research Hospital Bangalore,Bangalore,Rajiv Gandhi University of Health Sciences Karnataka,Trust,1997,200
211,Karnataka,K S Hegde Medical Academy Mangalore,Mangalore,Nitte University Deemed Mangalore,Trust,1999,250
212,Karnataka,Shimoga Institute of Medical Sciences Shimoga,Shimoga,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,2007,150
213,Karnataka,Mysore Medical College and Research Instt. Mysore,Mysore,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,1924,200
214,Karnataka,Raichur Institute of Medical Sciences Raichur,Raichur,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,2007,150
215,Karnataka,Dr BR Ambedkar Medical College Bangalore,Bangalore,Rajiv Gandhi University of Health Sciences Karnataka,Trust,1980,150
216,Karnataka,Mahadevappa Rampure Medical College Kalaburagi Gulbarga,Gulbarga,Rajiv Gandhi University of Health Sciences Karnataka,Trust,1963,150
217,Karnataka,Karnataka Institute of Medical Sciences Hubballi,Hubballi,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,1957,200
218,Karnataka,Hassan Institute of Medical Sciences Hassan,Hassan,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,2006,150
219,Karnataka,Belagavi Institute of Medical Sciences Belagavi,Belagavi,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,2006,150
220,Karnataka,JSS Medical College Mysore,Mysore,JSS Academy of Higher Education & Research Mysuru,Trust,1984,250
221,Karnataka,Kempegowda Institute of Medical Sciences Bangalore,Bangalore,Rajiv Gandhi University of Health Sciences Karnataka,Trust,1980,250
222,Karnataka,JJM Medical College Davangere,Davangere,Rajiv Gandhi University of Health Sciences Karnataka,Trust,1965,245
223,Karnataka,Kasturba Medical College Manipal,Manipal,Manipal Academy of Higher Education Deemed Manipal,Trust,1953,250
224,Karnataka,Kasturba Medical College Mangalore,Mangalore,Manipal Academy of Higher Education Deemed Manipal,Trust,1955,250
225,Karnataka,Sri Devaraj URS Medical College Kolar,Kolar,Sri Devaraj Urs Academy of Higher Education and Research Deemed Kolar,Trust,1986,200
226,Karnataka,K V G Medical College Sullia,Sullia,Rajiv Gandhi University of Health Sciences Karnataka,Trust,1999,100
227,Karnataka,Jawaharlal Nehru Medical College Belgaum,Belgaum,KLE Academy of Higher Education & Research Deemed Belgaum,Trust,1963,200
228,Karnataka,Adichunchanagiri Institute of Medical Sciences Bellur,Bellur,Rajiv Gandhi University of Health Sciences Karnataka,Trust,1985,250
229,Karnataka,Father Mullers Medical College Mangalore,Mangalore,Rajiv Gandhi University of Health Sciences Karnataka,Trust,1999,150
230,Karnataka,Bangalore Medical College and Research Institute Bangalore,Bangalore,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,1955,250
231,Karnataka,Chikkaballapura Institute of Medical Sciences,Chikkaballapura,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,2021,100
232,Karnataka,G R Medical College Hospital & Research Centre Mangaluru,Mangaluru,Rajiv Gandhi University of Health Sciences Karnataka,Trust,2021,150
233,Karnataka,Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College Hubli,Hubli,KLE Academy of Higher Education & Research Deemed Belgaum,Trust,2021,150
234,Karnataka,Sri Madhusudan Sai Institute of Medical Sciences & Research Chikballapur,Chikballapur,Sri Sathya Sai University for Human Excellence Navanihal,Trust,2023,50
235,Karnataka,Dr. Chandramma Dayananda Sagar Instt. of Medical Education & Research Harohalli Hubli,Hubli,Dayananda Sagar University Bangalore,Trust,2020,150
236,Karnataka,Shri Atal Bihari Vajpayee Medical College & Research Institute Bengaluru,Bengaluru,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,2019,150
237,Karnataka,Sri siddhartha Institute of Medical Sciences & Research Centre Bengaluru,Bengaluru,Sri Siddhartha Academy of Higher Education Tumkur,Trust,2019,150
238,Karnataka,East Point College of Medical Sciences & Research Centre Bengaluru,Bengaluru,Rajiv Gandhi University of Health Sciences Karnataka,Trust,2017,150
239,Karnataka,Sambharam Institute of Medical Sciences & Research Kolar,Kolar,Rajiv Gandhi University of Health Sciences Karnataka,Trust,2016,0
