SlNo,State,CollegeName,District,University,Management,YearOfInception,AnnualIntake
645,Tripura,Agartala Government Medical College Agartala,Agartala,Tripura University,Govt.,2005,175
646,Tripura,Tripura Medical College and Dr. B R A M Teaching Hospital Agartala,Agartala,Tripura University,Trust,2006,100
647,Uttar Pradesh,KMC Medical College & Hospital Maharajganj,Maharajganj,Atal Bihari Vajpayee Medical University Lucknow,Trust,2024,150
648,Uttar Pradesh,Ajay Sangaal Institute of Medical Sciences and Ayushman Hospital Shamli,Shamli,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2024,150
649,Uttar Pradesh,Autonomous State Medical College Sultanpur,Sultanpur,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2024,100
650,Uttar Pradesh,Autonomous State Medical College Akbarpur Kanpur,Kanpur,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2024,100
651,Uttar Pradesh,Autonomous State Medical College Kushinagar,Kushinagar,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2024,100
652,Uttar Pradesh,Autonomous State Medical College Lalitpur,Lalitpur,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2024,100
653,Uttar Pradesh,Autonomous State Medical College Pilibhit,Pilibhit,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2024,100
654,Uttar Pradesh,Kalyan Singh Government Medical College Bulandshahr,Bulandshahr,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2024,100
655,Uttar Pradesh,Mahatma Vidur Autonomous State Medical College Bijnor,Bijnor,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2024,100
656,Uttar Pradesh,Shri Gorakshnath Medical College Hospital & Arogya Dham Gorakhpur,Gorakhpur,Mahayogi Gorakhnath University Gorakhpur,Society,2024,100
657,Uttar Pradesh,Shri Siddhi Vinayak Medical College & Hospital Sambhal,Sambhal,Atal Bihari Vajpayee Medical University Lucknow,Private,2024,50
658,Uttar Pradesh,Autonomous State Medical College and Hospital Auraiya,Auraiya,Atal Bihari Vajpayee Medical University Lucknow,Society,2024,100
659,Uttar Pradesh,Autonomous State Medical College and Hospital Gonda,Gonda,Atal Bihari Vajpayee Medical University Lucknow,Society,2024,100
660,Uttar Pradesh,Autonomous State Medical College and Hospital Lakhimpur Kheri,Lakhimpur Kheri,Atal Bihari Vajpayee Medical University Lucknow,Society,2024,100
661,Uttar Pradesh,Baba Kina Ram Autonomous State Medical College and Hospital Chandauli,Chandauli,Atal Bihari Vajpayee Medical University Lucknow,Govt. Society,2024,100
662,Uttar Pradesh,Autonomous State Medical College and Hospital Kaushambi,Kaushambi,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2024,100
663,Uttar Pradesh,Autonomous State Medical College Sonebhadra,Sonebhadra,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2024,100
664,Uttar Pradesh,Dr. B.S. Kushwah Medical College Kanpur,Kanpur,,Private,2024,150
665,Uttar Pradesh,SKS Hospital Medical College & Research Centre Mathura,Mathura,Atal Bihari Vajpayee Medical University Lucknow,Private,2023,150
666,Uttar Pradesh,S N Medical College Agra,Agra,Dr B R Ambedkar University Agra,Govt.,1939,200
667,Uttar Pradesh,Major S D Singh Medical College and Hospital Fathehgarh Farrukhabad,Farrukhabad,C.S.J.M. University Kanpur,Trust,2011,0
668,Uttar Pradesh,Moti Lal Nehru Medical College Allahabad,Allahabad,King Georges Medical University Lucknow,Govt.,1961,200
669,Uttar Pradesh,BRD Medical College Gorakhpur,Gorakhpur,Deen Dayal Upadhyay Gorakhpur University,Govt.,1972,150
670,Uttar Pradesh,All India Institute of Medical Sciences Rae Bareli,Rae Bareli,Statutory Autonomous AIIMS(RaeBareli),Govt.,2019,100
671,Uttar Pradesh,Teerthanker Mahaveer Medical College Moradabad,Moradabad,Teerthanker Mahaveer University Moradabad,Trust,2008,250
672,Uttar Pradesh,King George Medical University Lucknow,Lucknow,King Georges Medical University Lucknow,Govt.,1911,250
673,Uttar Pradesh,Muzaffarnagar Medical College Muzaffarnagar,Muzaffarnagar,Ch. Charan Singh University Meerut,Trust,2006,200
674,Uttar Pradesh,Santosh Medical College Ghaziabad,Ghaziabad,Santosh University,Trust,1996,150
675,Uttar Pradesh,All India Institute of Medical Sciences Gorakhpur,Gorakhpur,Statutory Autonomous AIIMS(Gorakhpur),Govt.,2019,125
676,Uttar Pradesh,Uttar Pradesh University of Medical Sciences Etawah,Etawah,Uttar Pradesh University of Medical Sciences Etawah,Govt.,2006,200
677,Uttar Pradesh,Mahamaya Rajkiya Allopathic Medical College Ambedkarnagar,Ambedkarnagar,Dr. Ram Manohar Lohia Avadh University Faizabad,Govt.,2011,100
678,Uttar Pradesh,Institute of Medical Sciences BHU Varanasi,Varanasi,Banaras Hindu University,Govt.,1960,100
679,Uttar Pradesh,Era Lucknow Medical College Lucknow,Lucknow,Era University Lucknow,Trust,1997,200
680,Uttar Pradesh,Maharani Laxmi Bai Medical College Jhansi,Jhansi,Bundelkhand University,Govt.,1968,150
681,Uttar Pradesh,LLRM Medical College Meerut,Meerut,Ch. Charan Singh University Meerut,Govt.,1966,150
682,Uttar Pradesh,Rohilkhand Medical College & Hospital Bareilly,Bareilly,Bareilly International University Bareilly,Trust,2006,250
